School,G,SRS,SOS,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Loyola Marymount,31,4.98,4.32,75.3,73.1,26.8,59.1,0.454,9.32,25.5,0.365,12.3,18.4,0.671,10.6,36.1,11.8,5.45,2.77,12.8,19.4
Maine,30,-8.88,-4.66,68.5,69.7,26.1,57,0.458,6.6,19.8,0.333,9.6,13.2,0.727,7.73,30.8,13.8,9.47,2.07,12.4,14.9
Manhattan,30,-9.87,-4.94,67.2,70.4,24.4,56.1,0.436,6.83,20.5,0.333,11.4,17.3,0.66,9.13,31.7,12.3,7.57,3.5,13.5,16.4
Marist,33,-8.44,-5.68,63.9,66.7,22.6,55.1,0.41,7.67,23.4,0.328,11.1,15.9,0.698,8.91,34.3,10.8,5.91,3.76,11.9,15.4
Marquette NCAA,36,17.07,8.01,79.3,70.3,29.3,60.4,0.486,8.94,25.3,0.353,11.7,16.3,0.718,8.81,31.8,17.3,9.17,3,10.7,16.2
Marshall,32,7.13,-2.84,81.8,71.3,30.8,66.3,0.465,8.25,24.4,0.338,11.9,17.1,0.693,12.3,39,17.5,9,5.28,11.6,16.4
Maryland NCAA,35,14.58,8.35,69.7,63.5,24.6,55,0.448,6.66,20.3,0.328,13.8,18.9,0.732,9.77,33.6,11.4,5.46,3.74,10.7,16
Maryland-Baltimore County,32,-6.22,-6.96,74.3,72.8,27.2,60.3,0.45,8.03,23.6,0.341,12,16,0.75,9.28,34.2,14.3,5.63,2.53,10.1,14.6
Maryland-Eastern Shore,31,-7.63,-5.48,69.7,66.3,25,58.5,0.428,7.39,23.2,0.318,12.3,17.1,0.719,9.84,31.9,13.5,11.1,1.9,14.6,16.6
Massachusetts,31,-1.34,0.3,69.8,71.4,25,60.3,0.415,5.87,17.9,0.328,13.9,19.4,0.716,13,38.3,13.6,6.81,3.84,14.3,17.5
Massachusetts-Lowell,34,0.63,-8.53,78,66,28.4,58.7,0.484,6.94,18.2,0.381,14.3,19.5,0.736,11.9,38.6,14.3,6.97,4.82,13.7,16.8
McNeese State,34,-13.63,-5.48,69.2,75.4,25.2,58.6,0.431,7.59,23.3,0.325,11.1,16.8,0.662,12.4,35.2,11.3,7.24,1.79,14.7,19.3
Memphis NCAA,35,14.5,6.9,79.4,71.8,28.7,59.9,0.479,6.14,17.4,0.353,15.9,21.2,0.747,10.4,35.9,15.6,8.6,4.51,13.3,18.2
Mercer,33,-5.11,-3.98,68.7,67,25.8,57.1,0.451,5.94,17.8,0.334,11.2,16.2,0.69,10.4,34.7,12.8,5.61,2.15,11.7,17.9
Merrimack,34,-11.18,-9.12,62.6,62.3,21.5,51.3,0.419,7.38,22.6,0.327,12.1,17.6,0.689,6.74,28.6,12.6,11.2,4.09,14.1,14.2
Miami (FL) NCAA,37,13.98,6.84,79.1,71.9,28.6,59.6,0.48,7.51,20.4,0.368,14.4,18.3,0.784,10.4,34.7,14.5,7.3,3.11,11.1,14.2
Miami (OH),32,-7.46,-2.43,73.7,74.5,25.9,56.8,0.457,7.81,23,0.34,14,17.8,0.787,8.97,31.9,13.8,6.09,2.94,13.6,18.2
Michigan,34,12.43,8.69,73.4,69.6,26.4,58.6,0.45,7.68,21.9,0.351,12.9,18.1,0.711,8.82,36.7,12.2,4.65,4.62,10.5,15.5
Michigan State NCAA,34,14.25,11.25,70.9,67.9,25.9,57.2,0.452,7.41,18.9,0.393,11.8,15.5,0.759,9.03,35.7,14.6,4.71,3,10.9,16.4
Middle Tennessee,33,2.95,2.08,70.1,67.8,26,57.3,0.453,6.91,20.4,0.338,11.2,16.5,0.683,11.1,33.6,10.8,7.55,4.82,13.3,17.5
Milwaukee,34,-4.69,-3.98,78.2,74.2,27.8,60.6,0.458,7.85,22.8,0.345,14.8,20,0.74,11.9,39.1,13.9,6.94,5.47,15.1,17.9
Minnesota,31,-0.3,7.86,62.9,71,23.2,53.7,0.433,6.19,19.1,0.325,10.2,16.5,0.619,8.45,32.8,14.6,4.61,4,12.9,15.5
Mississippi,33,5.73,7.3,67.5,69.1,24.7,58.6,0.422,6.15,20.3,0.303,11.9,17.1,0.695,12,35.8,13.1,7.12,3.73,12.2,15.9
Mississippi State NCAA,34,11.43,6.69,65.7,61,24,56.9,0.421,5.24,19.7,0.266,12.5,19.3,0.647,12.9,37.9,14.2,8.62,3.44,12.8,15.2
Mississippi Valley State,32,-18.28,-4.56,61,74.8,21.3,52.5,0.406,5.06,14.5,0.349,13.3,20,0.665,9.88,32.1,10,7.59,2.03,16.2,17.9
Missouri NCAA,35,11.41,6.89,78.9,74.4,28.2,59.8,0.472,9.29,25.8,0.36,13.2,17.4,0.758,8.86,30.2,15.9,10.2,2.71,11.1,18
Missouri State,32,0.35,-1,65.6,63.2,24.1,55.5,0.435,7.94,24,0.331,9.38,15,0.626,11.3,35.1,11.7,6.22,4.38,12.3,15.5
Monmouth,33,-15.64,-2.61,61.7,74.7,22.6,56.2,0.402,4.06,14.1,0.288,12.4,18.6,0.667,11.1,33,12,8.42,2.52,14.4,19.2
Montana,31,-1.15,-1.85,69.3,68.2,24.6,53.2,0.462,7.87,21.2,0.372,12.2,15.5,0.788,7.39,30.4,12.2,4.71,2.39,11.2,18.1
Montana State NCAA,35,2.18,-1.43,73.9,66.9,25.1,53.6,0.469,6.17,18.3,0.336,17.5,23.3,0.754,8.31,33,12.5,6.54,2.97,11.9,18.3
Morehead State,34,-7.1,-5.07,69.8,66.6,24.2,55.6,0.436,7.47,21.5,0.348,13.9,19.2,0.725,9.56,35.6,13.7,5.68,3.79,11.9,15.6
Morgan State,31,-11.58,-6.1,74.9,72.3,27.8,61.6,0.452,6.65,18,0.369,12.6,18.3,0.688,11.7,34.6,15.5,9.77,4.45,16.1,20.9
Mount St. Mary's,33,-8.18,-4.02,63.7,67,23.4,55.1,0.424,6.67,18.8,0.354,10.3,14,0.732,9.33,33.6,12.4,5.52,2.48,13.6,16.4
Murray State,32,-4.45,-1.61,70.4,72,25.2,57,0.441,6.16,18.5,0.332,14,19,0.736,9.41,34.7,12.2,5.44,2.59,10.9,14.6
Navy,31,-2.79,-6.12,69.4,64.9,26.1,57.5,0.454,7.74,20.9,0.371,9.55,13.5,0.706,10,34.5,14.8,6.94,2.74,11.5,15.9
NC State NCAA,34,12.5,5.58,77.7,70.8,28.9,64.1,0.45,8.26,23.8,0.347,11.7,16.2,0.722,11.3,36.6,12.8,7.82,4.47,9.41,17.4
Nebraska,32,7.12,9.02,68,69.9,25.6,55.9,0.458,6.69,20.5,0.326,10.1,15.8,0.641,8.25,34.5,13.1,5.53,2.47,12.7,14.1
Nevada NCAA,33,10.01,6.41,72.6,67.8,24.2,54.4,0.445,7.21,20.5,0.351,17,21.5,0.792,7.42,33.4,14.4,5.97,3.03,10.3,17.9
Nevada-Las Vegas,32,7.2,5.17,74.3,70,25.6,59.2,0.432,8.19,23.5,0.349,14.9,20.6,0.723,10.5,33.8,12.8,9.09,3.81,12.3,17.1
New Hampshire,30,-9.05,-5.7,66.4,67,23.2,58.3,0.398,8.27,24.2,0.342,11.7,16.9,0.693,10.2,35.7,11.7,5.37,2.53,9.9,15.1
New Mexico,34,10.82,5.22,80.9,74.3,28.9,60.1,0.481,5.65,16,0.352,17.4,23.5,0.739,9.76,37.1,13.7,6.74,3.94,11.2,16.9
New Mexico State,24,-1.56,2.45,73.7,71.7,26.3,59.4,0.442,7.54,22.3,0.339,13.6,20,0.681,10.3,35.5,12.1,7.33,2.29,12.7,18.9
New Orleans,32,-14.23,-7.36,73.1,79.3,26,55.8,0.467,6.13,16.2,0.378,14.9,21.1,0.709,9.66,32.3,14.6,6.72,2.19,17.1,19.3
Niagara,31,-6.78,-4.58,65,65.9,23.7,53,0.448,6.32,18.4,0.344,11.2,15.5,0.723,8.06,30.5,10.9,5.32,2.29,11.8,16.1
Nicholls State,31,-8.54,-5.46,75.6,72.7,28.5,62.4,0.456,7.68,22.5,0.341,11,17.1,0.645,11.5,34.7,13.9,9.74,3,13.5,20.6
NJIT,30,-12.57,-5.61,66.9,72.7,24.8,57.8,0.429,6.53,18.7,0.349,10.8,16.3,0.664,8.7,34.1,11.2,5.33,2.83,11.1,15.7
Norfolk State,33,-3.72,-6.62,75.8,68.6,26.5,56.2,0.472,6.82,20.1,0.339,15.9,21.3,0.744,11,35.9,12.8,7.09,3.7,13.2,18.1
North Alabama,33,-8.65,-3.95,74.1,74.3,27,59.1,0.458,7.64,20.7,0.37,12.4,17.5,0.709,8.55,34.7,11.5,5.85,3.06,11.3,16.7
North Carolina,33,12.94,7.66,76.2,70.9,26.2,60.5,0.434,7.09,22.8,0.312,16.6,22.4,0.742,11.2,39.5,12,5.36,3.88,10.8,16.8
North Carolina A&T,32,-11.4,-3.95,70.8,73.8,25.2,60.3,0.417,8.16,24.5,0.332,12.2,17.9,0.681,9.38,35.5,11.7,7.5,3.06,12,17.1
North Carolina Central,30,-2.91,-6.1,75.6,65.9,27.2,57.9,0.469,7.37,20.5,0.36,13.9,19.8,0.702,10.9,35.8,14.6,7.97,3.23,15.3,19.2
North Dakota,33,-7.6,-3.09,72.1,73.9,26,58.9,0.441,9.21,26.3,0.35,10.9,16,0.683,9.21,33.4,11.9,4.42,2.67,11.5,15.8
North Dakota State,33,-4.56,-2.11,72.8,73.2,26.2,57.7,0.455,7.48,22.3,0.336,12.9,18.1,0.712,8.52,36.1,11.2,3.94,2.97,11.5,15.4
North Florida,31,-6.75,-2.54,76.2,77.6,27,59.3,0.455,10.4,28.4,0.367,11.8,16.4,0.719,9,34.1,13.1,4.97,3.87,12.2,14
North Texas,38,10.71,2.51,64.5,55.8,22.5,51.5,0.436,7.47,21.3,0.351,12.1,16,0.755,10.7,33.9,11.3,6.47,2.95,11.9,16.3
Northeastern,30,-10.33,-3.96,65.3,71.7,23.7,56.8,0.418,7.03,21.2,0.332,10.8,15.8,0.685,11,36,12.6,4.97,4.1,14.4,16.7
Northern Arizona,35,-3.87,-0.2,73.7,74.7,26.6,60.7,0.438,8.43,23.3,0.362,12.2,16.5,0.74,10.1,34,13.8,5.29,1.51,10.8,18.5
Northern Colorado,32,-4.65,-0.65,73.6,77.5,25.8,57.6,0.448,8.28,23.2,0.358,13.7,18.4,0.745,8.22,33.4,11.3,4.59,1.69,11.9,18.6
Northern Illinois,32,-6.55,-2.65,72,75,26.2,56.8,0.461,7.38,21.2,0.348,12.3,18.9,0.652,8.72,33.1,12.6,6.47,2.31,14.3,19.3
Northern Iowa,32,-2.68,-1.07,70.1,69.9,25.3,55.9,0.453,7.44,21.8,0.34,12.1,17.3,0.697,7.63,32.8,11.6,6.38,1.41,12,15.6
Northern Kentucky NCAA,35,-0.83,-2.89,67.8,63.5,24.3,57.1,0.426,8.09,23.6,0.342,11.1,15.9,0.696,11.3,32.5,13.4,9.4,2.54,11.3,15.3
Northwestern NCAA,34,13.68,8.71,67.7,62.8,23.6,57.9,0.407,7.62,23.7,0.321,13,17.2,0.757,10.3,34.5,12.8,7.85,3.91,9.62,16.1
Northwestern State,33,-4.72,-7.04,74.6,72.1,27.3,61.3,0.445,8.42,23.3,0.361,11.7,16.6,0.704,12.1,33.8,12.6,8.27,2.39,11.9,18.3
Notre Dame,32,2.09,4.59,69.6,72.1,25.3,57.2,0.443,8.81,24.6,0.358,10.2,13.3,0.763,6.56,31.1,11.8,4.69,2.72,8.78,14.3
Oakland,32,-8.06,-2.9,73.3,76.3,25.7,59.1,0.435,7.25,23.5,0.308,14.7,18.9,0.776,8.38,30.5,12,7.47,2.63,10.6,14
Ohio,33,1.07,-2.68,78.8,73.1,28.6,62.5,0.458,8.94,24,0.373,12.6,17.3,0.73,12.1,37.5,12.5,6.7,2.21,11.2,17.7
Ohio State,35,12.99,9.45,72.5,69,27.1,58.6,0.462,6.83,18.6,0.368,11.5,15.6,0.739,10.6,35.9,11.7,5.17,3.77,10.7,16.4
Oklahoma,32,11.38,11.25,67.7,67.5,24.4,53.3,0.458,7,19.9,0.351,11.8,16,0.735,7.25,32.8,13,5.72,3.03,13.4,16.2
Oklahoma State,36,12.62,10.18,68.3,65.8,24.3,56.8,0.428,6.86,22.1,0.31,12.8,18.4,0.694,11.4,37.4,12.6,5.67,4.83,14.1,17
Old Dominion,31,-0.41,-0.64,66.9,66.2,23.7,56.8,0.418,5.29,16.9,0.314,14.2,20.8,0.68,12.1,37.9,10.6,6.35,3.77,11.2,16.7
Omaha,32,-10.8,-1.83,68.5,76.2,24.9,56.4,0.442,5.72,16.9,0.339,13,16.7,0.776,8.09,32.4,11.9,5.38,2.88,12.5,18.3
Oral Roberts NCAA,35,8.55,-2.84,83.3,70.2,30.2,63.7,0.474,10.7,29.3,0.365,12.1,15.7,0.774,8.94,36.8,14.7,6.77,5.37,9.4,12.9
Oregon,36,13.83,9.5,70.6,66.3,25.4,56.8,0.448,7.11,22.2,0.32,12.6,18.1,0.695,11,37.6,13.3,5.58,4.86,12.2,14.7
Oregon State,32,0.08,6.6,61.2,67,21.1,51.5,0.41,6,18.9,0.317,13,17.2,0.753,7.94,31.1,10.2,5.38,3.06,13.4,17.8
Pacific,33,-0.56,2.05,75.8,77.7,26.3,58.2,0.452,9,23.1,0.39,14.2,19.7,0.72,8.09,31.6,12.7,5.42,2.58,11.8,19
Penn State NCAA,37,13.04,9.02,72.2,68.2,26.4,57.1,0.463,10.4,26.9,0.387,8.97,12.1,0.739,6.14,32.6,13.7,4.35,2.14,8.97,15.5
Pennsylvania,30,0.85,-1.11,75,72,27.1,58.3,0.464,8.13,22.6,0.36,12.7,17.1,0.741,10.1,37.6,14.8,5.53,3.2,12.7,18.1
Pepperdine,31,-0.12,4.71,78,81.3,29,62.3,0.465,8.16,22.5,0.362,11.9,16.7,0.71,9.23,35.8,15.1,5.42,3.77,14.1,17.7
Pittsburgh NCAA,36,10.59,5.2,75.1,69.7,25.8,57.8,0.447,9.03,25.1,0.36,14.4,19,0.759,10.1,36.1,14.1,5.14,4.08,11.1,16.3
Portland,33,1.68,4.13,77.8,78.6,25.3,55.7,0.455,9.61,25.6,0.375,17.5,23.5,0.745,8.12,32.8,14.8,4.97,2.27,12.7,17.5
Portland State,31,-5.17,-0.58,76.2,75.5,26.9,60.2,0.448,7.55,22.2,0.34,14.8,20.4,0.727,9.32,31.4,13.9,7.1,3.39,12.1,22.6
Prairie View,32,-8.92,-6.58,67.8,68.6,24.2,59.8,0.404,5.97,19.7,0.303,13.5,19.7,0.685,11.8,35.1,11,7.56,3.5,13.7,19.1
Presbyterian,32,-13.55,-5.02,63.2,69.5,22.4,53.4,0.42,5.97,19.3,0.31,12.3,19.7,0.625,10.5,32.8,10.8,5.5,3.06,13.4,19.3
Princeton NCAA,32,4.76,-0.97,75.5,68.5,27.1,59.6,0.455,8.5,24.9,0.342,12.8,18,0.712,10.2,39,13.4,4.88,3.31,12,16
Providence NCAA,33,12.89,6.55,77.3,71,27.3,59.8,0.456,6.61,19.1,0.346,16.1,21.7,0.742,12.1,38.1,14.6,6.85,4.45,11.7,15
Purdue NCAA,35,18.23,8.31,72.7,62.7,25.3,55.3,0.457,6.83,21.2,0.322,15.3,20.6,0.744,12.3,38.7,15.5,4.74,3.69,11.1,13.7
Purdue Fort Wayne,32,-5.46,-4.96,73.9,69.8,26.1,59.6,0.439,9.63,27.8,0.346,12,17,0.705,9.94,35.6,13.1,7.34,2.31,13.2,14.6
Queens (NC),33,-4.16,-4.26,77.7,74.6,26.6,59.9,0.444,9.24,26.5,0.349,15.2,21.2,0.721,11.2,37.3,13.8,6.18,2.18,12.5,16.1
Quinnipiac,32,-2.43,-5.2,73,69.7,25.8,59.6,0.433,8.22,22.7,0.363,13.1,19.7,0.667,11.4,37.4,13.1,6.13,2.56,12.6,16.4
Radford,36,-1.86,-3.86,69.3,64.8,25.9,56.2,0.46,6.53,18.2,0.359,11.1,16.1,0.689,10.3,33.4,11.8,7,2.86,11.8,16.8
Rhode Island,31,-4.16,0.49,66,70.6,22.5,56.9,0.394,5.42,17.8,0.304,15.7,21.1,0.744,11.7,37,11.2,6.42,3.84,14.1,18
Rice,35,-1.95,1.4,76.9,76.6,27.3,58.6,0.466,8.8,25,0.352,13.5,18.3,0.738,8.4,34.9,15.2,5.94,2.43,12.9,15.5
Richmond,33,1.43,0.34,68.9,67.8,23.8,54.3,0.439,7.91,23.9,0.33,13.3,17.9,0.745,6.85,32.3,12.2,5.73,2.36,11.5,15.1
Rider,30,-3.49,-4.9,70.2,67.6,26.4,58.2,0.454,5,15,0.334,12.3,16.7,0.735,11.3,36.2,11.4,5.37,2.23,11.5,18.3
Robert Morris,33,-5.83,-5.57,69.3,66.8,25.6,57.7,0.443,7.12,21.3,0.334,11,15.3,0.721,10.2,34.7,13.8,6.67,4.09,13.1,16.2
Rutgers,34,14.58,7.31,68.4,61.1,25.5,59.2,0.431,5.74,17.9,0.321,11.7,16.7,0.7,11.6,36.8,15.1,8.74,3.85,11.4,16
Sacramento State,32,-4.63,-1.6,66.1,67.8,24.3,54.7,0.444,6.78,19.7,0.345,10.7,15.3,0.697,10.9,35.7,13.6,4.47,2.66,13.3,15.5
Sacred Heart,33,-12.78,-10.91,70.7,71.2,26.2,60.7,0.432,6.94,22.2,0.313,11.4,16.8,0.678,10.6,35.8,13.5,7.85,3.27,13.3,15.2
Saint Francis (PA),31,-13.41,-9.27,73,73.7,26.2,56.8,0.462,7.74,20.4,0.379,12.8,18.2,0.704,8.55,33.5,13.9,4.42,2.06,12.6,16.5
Saint Joseph's,33,-0.33,-0.3,72.4,72.4,24.8,58.2,0.426,8.79,26.7,0.329,14,19.9,0.703,10.4,34.6,12.1,6.55,3.24,12.8,17.5
Saint Louis,33,6.04,2.85,75.5,71.2,27.9,59.7,0.468,6.97,19.5,0.357,12.8,17.5,0.731,10.2,38,16.5,5.03,4,12.1,16.9
Saint Mary's (CA) NCAA,35,17.41,7.18,70.7,60.1,25.4,55.8,0.455,7.51,20.6,0.365,12.4,17.9,0.694,10.6,35.3,12.5,6.83,3.49,10.7,16.5
Saint Peter's,32,-9.9,-5.25,62.1,65.1,22.4,57.2,0.391,5.94,20.3,0.293,11.4,16.5,0.689,13.5,35,10.5,6.25,3.19,12.3,21.3
Sam Houston,34,7.15,1.08,72.2,59.3,26.3,57.7,0.456,8.15,21.5,0.379,11.4,16.9,0.677,11.4,36.8,13.5,8.21,2.24,13.1,17.8
Samford,32,0.5,-4.36,78.7,71.6,26,57.3,0.454,9.06,25.7,0.353,17.7,23.6,0.747,9.97,35.5,11.7,8.13,2.59,12.7,18.7
San Diego,31,-2.06,3.28,77.1,80.5,27.4,60.7,0.451,7.87,22.3,0.353,14.5,18.9,0.765,10.1,33.1,12.8,6.68,1.77,11.5,17.6
San Diego State NCAA,39,15.81,8.92,71.2,63.5,25.3,57.7,0.438,6.95,19.9,0.348,13.6,18.9,0.722,10.9,36.3,12.9,6.72,3.87,11.6,16.3
San Francisco,34,6,3.63,76.2,73.4,26,58.1,0.447,10.3,28.4,0.361,14,18.7,0.75,9.59,34.5,12.8,6.76,2.5,13.8,18.5
San Jose State,35,5.17,4.52,67.5,66.2,24.8,57,0.435,7.57,23.3,0.326,10.3,15.1,0.679,12.1,38.1,12.2,4.06,4.14,11.9,15.6
Santa Clara,33,8.55,5.05,76.9,73.1,27.8,61.4,0.454,8.33,22.5,0.371,12.9,18.3,0.704,10.6,38.2,13.9,5.94,3.79,12.5,15.7
Seattle,32,0.91,0.67,72,69,24.6,61,0.402,8.59,27.2,0.316,14.3,19.8,0.718,11.2,37.1,11.9,6.13,3.09,11.9,18.2
Seton Hall,33,11,8.5,68.4,65.1,23.8,54.1,0.439,5.76,17.7,0.325,15.1,22,0.686,10.6,35.1,12.2,8.24,4.33,13.8,17.8
Siena,32,-3.44,-4.82,68.6,67.2,23.9,55.3,0.433,6.66,19.1,0.349,14.1,19.1,0.736,10.1,34.3,12.8,5.69,4.22,13.1,17.1
South Alabama,35,3.58,-0.49,70.9,65.2,27.3,58.2,0.469,7.6,22,0.345,8.77,12.8,0.687,6.91,32.7,11.4,6.06,4.31,9.77,14.6
South Carolina,32,-2.28,6,64.3,72.6,23.3,57.7,0.403,7.63,23.6,0.323,10.2,15.5,0.661,11.8,34.1,11.1,4.91,2.63,13.2,16
South Carolina State,31,-16.73,-4.13,73.4,83.8,27,63.9,0.423,6.87,21.6,0.317,12.4,18.5,0.67,13.8,35.4,14,7.23,3.23,15.7,20.5
South Carolina Upstate,32,-7.44,-3.81,68.7,69.5,25.3,55.4,0.456,6.53,19.4,0.337,11.7,17.8,0.654,8.38,31.7,11.7,7.41,4.56,13.2,19.9
South Dakota,31,-9.87,-3.32,69.3,73.6,24.4,56.5,0.431,8.87,22.8,0.39,11.7,15.4,0.765,8.61,33.6,12.4,4.45,1.55,11.6,17.4
South Dakota State,32,-1.82,-2.07,70.9,69.8,25.4,56.4,0.45,7.69,21.9,0.351,12.5,15.8,0.792,6.97,32.5,10.7,5.19,2.88,11.6,14.3
South Florida,32,1.95,1.95,72,72,26.4,59.2,0.446,7.38,22,0.336,11.8,18.2,0.651,11.9,37.4,13.4,6.47,3.06,13.7,17.8
Southeast Missouri State NCAA,36,-7.4,-6.81,77.5,75.9,26.6,60.9,0.437,7.94,24.3,0.327,16.3,23,0.709,9.64,35.1,13.8,6.97,3.19,13.1,21.3
Southeastern Louisiana,32,-8,-6.73,77.6,76,27.8,60.7,0.458,7.75,21,0.369,14.3,19.3,0.742,10.3,34.6,14.2,7.28,1.81,12.2,17.4
Southern,32,-8.57,-6.5,71.9,71.3,25.1,58.5,0.429,7.63,23,0.331,14,19.6,0.715,8.78,32.4,14.1,8.69,2.34,14.6,20
Southern California NCAA,33,13.06,8,72.5,67.4,25.9,56.9,0.455,6.48,18.8,0.345,14.1,18.9,0.745,9.39,35.3,13.5,6.88,5.06,12.4,17.2
Southern Illinois,33,1.15,-2.14,65.7,61.4,23.3,52,0.448,7.85,24.1,0.326,11.2,15.5,0.723,6.91,31.5,13.9,7.21,2.12,12.5,16.3
SIU Edwardsville,33,-6.45,-7.52,74.6,71.3,25.3,58.1,0.435,7.15,21.8,0.329,16.9,23.2,0.729,11.3,37,12.3,6.91,4.27,12.8,17.5
Southern Indiana,33,-8.87,-7.13,75.8,74.2,26.3,60.6,0.434,9.7,25.9,0.375,13.5,20.1,0.671,12.2,38.5,12.7,7.18,2.33,13.3,18.3
Southern Methodist,32,-0.12,5.2,70.3,75.6,25.3,60,0.422,6.28,20.2,0.311,13.3,19.8,0.674,10.5,34.9,13.6,7.06,3.38,12.9,17.4
Southern Mississippi,33,3.31,-1.56,73.8,66.1,26.7,58.7,0.455,6.97,21.6,0.322,13.5,18.8,0.714,11.1,36.5,14.8,8.36,2.64,12.2,16.5
Southern Utah,37,3.39,1.42,82.8,74.7,28.8,61.8,0.465,8.46,24,0.353,16.8,23.2,0.725,10.7,38.6,13.1,7.24,3.38,13.3,18.4
St. Bonaventure,32,-1.32,-0.41,66.8,67.7,24,56.1,0.429,7.06,20.3,0.348,11.6,16.5,0.703,9.41,32.8,11.9,7,3.38,12.7,18.6
St. Francis (NY),30,-16.49,-11.17,64.9,67.8,22.9,56.7,0.404,6.8,19.2,0.354,12.2,17.5,0.698,11.4,33.9,12.3,7.43,4.8,13.8,15.3
St. John's (NY),33,8.64,6.49,77.3,75.2,29.4,65.4,0.449,5.85,17.7,0.331,12.7,18.2,0.699,13.1,40.1,15.2,8.24,3.73,14,16.2
St. Thomas,33,-3.1,-4.65,74.2,70.2,25.7,57.4,0.447,9,25.6,0.352,13.8,17.6,0.785,8.24,31.9,12.9,5.94,2.33,9.91,17.4
Stanford,33,9.64,7.67,70.3,68.4,25.4,56.2,0.452,8.09,22.3,0.363,11.5,16.5,0.694,10.4,34.5,14.8,5.7,3.21,12.5,16.9
Stephen F. Austin,32,0.73,-0.69,75.8,69.9,27.1,57.3,0.473,6.34,16.6,0.382,15.3,21.4,0.716,10.7,34.4,15.1,8.88,2.59,15.4,21.4
Stetson,31,-2.83,-2.69,76.8,73.8,27.6,60,0.461,10,26.2,0.383,11.5,14.9,0.772,10.3,35,13.8,5.13,3.19,10.6,15.6
Stonehill,31,-12.86,-8.59,67,69.6,23.2,52.7,0.441,7.71,21.8,0.353,12.8,16.9,0.758,6.26,31.1,12.3,7.06,2.84,13.5,15.1
Stony Brook,33,-12.45,-4.13,63.1,69.1,22,53.2,0.413,7.76,24.1,0.322,11.4,15.3,0.744,7.64,33.9,11.8,4.36,2.52,12.5,15.1
Syracuse,32,5.39,4.17,74.1,72.9,27.2,58.8,0.463,6.19,17.1,0.362,13.5,18,0.749,10.1,34.8,14.3,7.53,5.03,11.7,13.3
Tarleton State,34,-0.76,1.71,71.9,67.9,24.9,54.9,0.453,4.79,14,0.342,17.3,24.6,0.704,9.56,31.7,12.9,9.71,2.82,12.5,20.4
TCU NCAA,35,15.61,8.78,75.3,68.4,27.6,60.8,0.453,5.63,18.2,0.31,14.5,20.7,0.699,11.5,35.8,16.1,8.03,4.74,11.9,16.5
Temple,32,4.68,5.3,69.6,70.2,23.6,55.4,0.425,7.97,24.2,0.33,14.5,19.2,0.757,9.72,35.2,13.8,4.97,4,13.6,16.8
Tennessee NCAA,36,20.84,7.98,70.8,57.9,25.2,58.3,0.433,7.67,23.3,0.329,12.6,17.9,0.708,12.9,38.4,16.7,8.25,3.61,12,16.6
Tennessee State,32,-9.01,-8.94,78.1,75,27.1,60.5,0.449,8.78,25.1,0.35,15.1,21.7,0.695,10.5,36.4,13.3,5.84,3.28,12.6,20.4
Tennessee Tech,33,-9.4,-6.37,73.7,73.4,26.1,59.6,0.437,9.15,25.1,0.364,12.4,17.3,0.719,9.39,35.1,14.4,6.27,2.42,12.6,16
Tennessee-Martin,33,-8.67,-7.91,80.5,75.4,28.6,62.4,0.459,7.73,23.4,0.331,15.5,21.5,0.722,10.5,39.2,13.6,7.55,3.45,11.9,18.3
Texas NCAA,38,20.56,10.43,78,67.8,28.5,60.2,0.473,7.21,20.8,0.347,13.8,18.4,0.748,9.63,34.1,16.2,7.87,3.58,11.6,17.4
Texas A&M NCAA,35,13.76,7.42,72.8,66.5,23.9,55.2,0.432,6.2,19,0.326,18.9,24.9,0.759,12.4,36.8,12.5,6.71,2.34,12.3,18.2
Texas A&M-Corpus Christi NCAA,35,-2.57,-7.02,80.1,73.2,27.7,61.5,0.451,7.66,21,0.364,16.9,21.4,0.792,12.1,37.3,15.3,8.46,1.71,12.8,19
Texas Southern NCAA,35,-10.56,-5.05,69.2,71.9,25.5,59.9,0.427,4.66,16.8,0.277,13.5,20.3,0.664,11.6,37.5,11.8,6.71,3.31,14.6,18.8
Texas State,35,-2.32,-0.7,66,66.7,24.2,54.8,0.442,4.4,14.3,0.307,13.1,18,0.729,10.3,32.7,9.89,6.29,3.54,11.7,18
Texas Tech,32,12.58,8.24,73.3,69,26,56.6,0.459,7.19,20.8,0.345,14.2,19.7,0.722,10.4,35.2,12.9,7.31,2.91,13.8,15.4
Texas-Rio Grande Valley,32,-6.48,-0.55,78.7,78.2,27.1,57.9,0.469,6.94,20.5,0.339,17.5,25.1,0.698,10.8,37.8,15.8,4.72,3.25,16.1,20
The Citadel,32,-12.13,-3.77,67.4,74.2,24.1,55.8,0.432,7.13,21.9,0.325,12.1,16.1,0.755,7.31,31.7,11.4,5.5,2.66,12.3,16.8
Toledo,35,5.76,-2.57,85.4,76.9,30.2,61.1,0.494,8.63,21.8,0.395,16.4,21.3,0.77,10.1,34.1,14.9,6.8,2.91,9.6,16.1
Towson,33,0.24,-4.79,71.8,66.7,26.1,58.2,0.447,7.36,20.1,0.367,12.3,17.3,0.708,12.3,37.3,14,6.21,3.42,12.2,16.3
